Business name,URL,Category/type,Location,Loaded successfully,First impression score,Visual quality score,Mobile conversion score,CTA clarity score,Trust signal score,Offer clarity score,Form/friction score,Speed/performance notes,SEO/local SEO notes,Standout design/conversion ideas,Weaknesses to avoid,Screenshot path,Discovery path,Discovery query,Reviewed at
R&amp;B Landscaping,https://rblandscapingservice.com/,lawn care; landscape design-build; commercial landscaping,"Maine scott yarnell Miami, FL",true,7,8,7,7,6,4,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: R&amp;B Landscaping Home. H1: not detected. Schema detected. Location signal: Maine scott yarnell Miami, FL.",Portfolio/gallery helps prove finished-work quality.,Services/offers are not immediately clear.,research/screenshots/008-rblandscapingservice-com.jpg,lead-sheet/domain-guess,RB Landscaping Service LLC,2026-06-17T00:06:40.015Z
Roy,https://roysactionlandscaping.com/,irrigation; landscape design-build,"Pleasantville, NJ",true,6,7,6,6,5,5,5,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: Action Landscaping | Pleasantville, NJ. H1: The Action Difference. No schema detected in homepage HTML. Location signal: Pleasantville, NJ.",Portfolio/gallery helps prove finished-work quality.,Trust proof is thin above the main homepage content. Services/offers are not immediately clear. No homepage form detected; conversion path may require extra clicks.,research/screenshots/012-actionlandscaping-com.jpg,lead-sheet/domain-guess,Action Lawn Service,2026-06-17T00:06:42.230Z
Action Landscape,https://actionlandscape.com/,hardscaping; irrigation; outdoor living; landscape design-build; commercial landscaping,"Louisville, KY",true,9,7,6,6,4,10,5,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: Action Landscape - Louisville’s Trusted Full-Service Landscape Company. H1: Louisville’s Trusted Full-Service Landscape Company. Schema detected. Location signal: Louisville, KY.",Service area language supports local intent.,Trust proof is thin above the main homepage content. No homepage form detected; conversion path may require extra clicks.,research/screenshots/010-actionlandscape-com.jpg,lead-sheet/domain-guess,Action Lawn Service,2026-06-17T00:06:42.659Z
C&amp;J Outdoor Services LLC,https://candjoutdoors.com/,hardscaping; irrigation; outdoor living; commercial landscaping,,true,10,8,8,8,5,10,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,Title: C&amp;J Outdoor Services - #1 Outdoor Services Contractor in PA &amp; NJ. H1: TURNING OUTDOOR SPACE INTO OUTDOOR LIVING. Schema detected. Location signal not obvious from homepage text.,Primary quote/call CTA is easy to find. Service area language supports local intent.,Trust proof is thin above the main homepage content.,research/screenshots/012-candjoutdoors-com.jpg,lead-sheet/domain-guess,C&J Lawn Care LLC,2026-06-17T00:06:42.702Z
"PID, CA",https://pidwater.com/,landscaping,"PID, CA",true,8,7,8,8,4,3,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: PID, CA | Official Website. H1: OUR WATER. OUR FUTURE.. No schema detected in homepage HTML. Location signal: PID, CA.",Primary quote/call CTA is easy to find.,Trust proof is thin above the main homepage content. Services/offers are not immediately clear.,research/screenshots/013-paradiseirrigation-com.jpg,lead-sheet/domain-guess,Paradise Landscape & Irrigation,2026-06-17T00:06:43.956Z
<strong>Quality Materials for a Durable and Beautiful Backyard</strong>,https://patiopros.com/,hardscaping; outdoor living,"Chico, CA",true,10,7,7,7,5,9,6,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: not detected. H1: Quality Materials for a Durable and Beautiful Backyard. No schema detected in homepage HTML. Location signal: Chico, CA.",Portfolio/gallery helps prove finished-work quality.,Trust proof is thin above the main homepage content. No homepage form detected; conversion path may require extra clicks.,research/screenshots/015-patiopros-com.jpg,lead-sheet/domain-guess,Patio Pros Landscape & Design,2026-06-17T00:06:44.823Z
Down To Earth Landscaping,https://www.downtoearthlandscaping.com/,hardscaping; irrigation; outdoor living; artificial turf; landscape design-build; commercial landscaping,"Wright Debow Road Jackson, NJ",true,10,9,9,9,7,10,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: Down To Earth Landscaping | Commercial Landscape. H1: Quality Landscape Design & Build Services. Schema detected. Location signal: Wright Debow Road Jackson, NJ.",Primary quote/call CTA is easy to find. Portfolio/gallery helps prove finished-work quality.,Maintain proof density and avoid burying quote path below decorative content.,research/screenshots/016-downtoearthlandscaping-com.jpg,lead-sheet/domain-guess,Down to Earth Landscaping Services LLC,2026-06-17T00:06:46.086Z
Down to Earth,https://www.downtoearthoutdoors.com/,hardscaping; irrigation,,true,7,6,4,4,2,5,5,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,Title: Down to Earth. H1: not detected. Schema detected. Location signal not obvious from homepage text.,Basic landscaping service presentation with limited standout conversion pattern.,CTA language is weak or hard to locate. Trust proof is thin above the main homepage content. Services/offers are not immediately clear. Phone number is not obvious in captured homepage text. No homepage form detected; conversion path may require extra clicks.,research/screenshots/018-downtoearthoutdoors-com.jpg,lead-sheet/domain-guess,Down to Earth Landscaping Services LLC,2026-06-17T00:06:47.710Z
Master Landscaping &#8211; Expert Landscape Management,https://masterlandscaping.com/,irrigation; artificial turf; commercial landscaping,,true,7,6,9,9,5,6,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,Title: Master Landscaping &#8211; Expert Landscape Management. H1: not detected. No schema detected in homepage HTML. Location signal not obvious from homepage text.,Primary quote/call CTA is easy to find.,Trust proof is thin above the main homepage content.,research/screenshots/017-masterlandscaping-com.jpg,lead-sheet/domain-guess,Landscape Master,2026-06-17T00:06:48.444Z
N1 Outdoors&reg;,https://n1outdoors.com/,hardscaping; commercial landscaping,"Dudley, GA",true,8,8,8,8,6,4,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: N1 Outdoors | Hunting &amp; Fishing Tips You Can Trust + Apparel. H1: HUNTING | FISHING | THE OUTDOORS… ALL N1™. Schema detected. Location signal: Dudley, GA.",Primary quote/call CTA is easy to find.,Services/offers are not immediately clear.,research/screenshots/019-allinoneoutdoors-com.jpg,lead-sheet/domain-guess,All In One Landscaping,2026-06-17T00:06:50.069Z
Sunset Magazine,https://sunset.com/,outdoor living,,true,7,8,5,5,4,5,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: Sunset.com - Sunset Magazine. H1: This Oregon City Is A Hidden Gem Filled With Scenic Hiking Trails, Craft Breweries, And More. Schema detected. Location signal not obvious from homepage text.",Basic landscaping service presentation with limited standout conversion pattern.,CTA language is weak or hard to locate. Trust proof is thin above the main homepage content. Services/offers are not immediately clear. Phone number is not obvious in captured homepage text.,research/screenshots/020-sunset-com.jpg,lead-sheet/domain-guess,Sunset Landscaping & Designs,2026-06-17T00:06:50.815Z
Zach,https://www.zachslandscaping.com/,landscape design-build,,true,8,6,8,9,3,5,6,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,Title: Zach&#39;s Landscaping. H1: Our Services . Schema detected. Location signal not obvious from homepage text.,Primary quote/call CTA is easy to find.,Trust proof is thin above the main homepage content. Services/offers are not immediately clear. No homepage form detected; conversion path may require extra clicks.,research/screenshots/021-zachslandscaping-com.jpg,lead-sheet/domain-guess,Zach's Landscaping,2026-06-17T00:06:51.821Z
Landscaping in Calgary &#124; Lux Landscaping LTD,https://www.luxlandscaping.com/,lawn care; commercial landscaping,,true,10,10,8,8,8,8,6,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: Welcome. H1: <a href=""/"" id=""top""> <img src=""//images.squarespace-cdn.com/content/v1/52e83e24e4b04dc89b07909a/1553444594852-OG04OSQDG04L50K22F61/Landscaping+in+Calgary+and+Cochrane.png?format=1500w"" alt=""Landscaping in Calgary | Lux Landscaping LTD"" /> </a>. Schema detected. Location signal not obvious from homepage text.","Primary quote/call CTA is easy to find. Uses reviews, licensing, guarantees, awards, or years-in-business proof. Before/after proof supports homeowner confidence. Portfolio/gallery helps prove finished-work quality.",No homepage form detected; conversion path may require extra clicks.,research/screenshots/022-luxlandscaping-com.jpg,lead-sheet/domain-guess,Lux landscape services LLC,2026-06-17T00:06:52.511Z
Naranjo Landscaping,https://naranjolandscaping.com/,landscaping,,true,10,6,7,7,3,6,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,Title: Naranjo Landscaping. H1: EXPERT LANDSCAPING SERVICES IN THE VALLEY. Schema detected. Location signal not obvious from homepage text.,Basic landscaping service presentation with limited standout conversion pattern.,Trust proof is thin above the main homepage content. Phone number is not obvious in captured homepage text.,research/screenshots/024-naranjolandscaping-com.jpg,lead-sheet/domain-guess,Naranjo Landscaping Services LLC,2026-06-17T00:06:53.704Z
Dobson Lawn &amp; Landscape Inc.,https://dobsonlandscape.com/,hardscaping; outdoor living; artificial turf; landscape design-build,"Solitude Road St. Michaels, MD",true,10,9,8,8,7,10,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: Dobson Lawn &amp; Landscape Inc.. H1: <a href=""/"" class=""site-header__logo-image""> <img class=""lazyload js"" src=""//dobsonlandscape.com/cdn/shop/files/thumbnail_logo_300x300.jpg?v=1767633332"" data-src=""//dobsonlandscape.com/cdn/shop/files/thumbnail_logo_{width}x.jpg?v=1767633332"" data-widths=""[180, 360, 540, 720, 900, 1080, 1296, 1512, 1728, 2048]"" data-aspectratio=""3.488888888888889"" data-sizes=""auto"" alt=""Dobson Lawn &amp;amp; Landscape Inc."" style=""max-width: 250px""> <noscript> <img src=""//dobsonlandscape.com/cdn/shop/files/thumbnail_logo_250x.jpg?v=1767633332"" srcset=""//dobsonlandscape.com/cdn/shop/files/thumbnail_logo_250x.jpg?v=1767633332 1x, //dobsonlandscape.com/cdn/shop/files/thumbnail_logo_250x@2x.jpg?v=1767633332 2x"" alt=""Dobson Lawn &amp; Landscape Inc."" style=""max-width: 250px;""> </noscript> </a>. Schema detected. Location signal: Solitude Road St. Michaels, MD.",Primary quote/call CTA is easy to find. Portfolio/gallery helps prove finished-work quality.,Maintain proof density and avoid burying quote path below decorative content.,research/screenshots/023-talbotlandscape-com.jpg,lead-sheet/domain-guess,Talbot Landscaping LLC,2026-06-17T00:06:53.722Z
Legacy Landscaping LLC,https://legacylandscaping.com/,lawn care,"Landscaping in Wolcott, CT",true,10,10,8,9,9,7,6,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: Legacy Landscaping LLC | Lawn Care & Landscaping in Wolcott, CT. H1: Local Lawn Care You Can Trust. Schema detected. Location signal: Landscaping in Wolcott, CT.","Primary quote/call CTA is easy to find. Uses reviews, licensing, guarantees, awards, or years-in-business proof. Before/after proof supports homeowner confidence. Service area language supports local intent.",No homepage form detected; conversion path may require extra clicks.,research/screenshots/024-legacylandscaping-com.jpg,lead-sheet/domain-guess,Legacy Landscaping & Lawn Care,2026-06-17T00:06:54.593Z
Spaceship,https://legacylandscape.com/,landscaping,"Phoenix, AZ",true,8,6,3,3,2,6,4,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: LegacyLandscape.com for sale | Spaceship.com. H1: LegacyLandscape.com. Schema detected. Location signal: Phoenix, AZ.",Basic landscaping service presentation with limited standout conversion pattern.,CTA language is weak or hard to locate. Trust proof is thin above the main homepage content. Phone number is not obvious in captured homepage text. No homepage form detected; conversion path may require extra clicks.,research/screenshots/027-legacylandscape-com.jpg,lead-sheet/domain-guess,Legacy Landscaping & Lawn Care,2026-06-17T00:06:55.770Z
Sod Service,https://www.washingtonsod.com/,irrigation; artificial turf; commercial landscaping,"LIST MAP FIND NEAREST LOCATION Kent Kent, WA",true,10,9,8,8,7,6,6,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: Sod Service | Washington Sod and Turf. H1: Fast and Affordable Sod Delivery Service. Schema detected. Location signal: LIST MAP FIND NEAREST LOCATION Kent Kent, WA.",Primary quote/call CTA is easy to find. Portfolio/gallery helps prove finished-work quality. Service area language supports local intent.,No homepage form detected; conversion path may require extra clicks.,research/screenshots/027-yardguys-com.jpg,lead-sheet/domain-guess,The Yard Guys,2026-06-17T00:06:56.584Z
Living Green Design,https://www.livinggreen.com/,landscape design-build,"San Francisco, CA",true,7,8,7,7,5,3,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: Living Green Design. H1: 
MASTER DESIGNERS OF THE GARDEN EXPERIENCE. Schema detected. Location signal: San Francisco, CA.",Portfolio/gallery helps prove finished-work quality.,Trust proof is thin above the main homepage content. Services/offers are not immediately clear.,research/screenshots/027-livinggreen-com.jpg,lead-sheet/domain-guess,Living Green Landscaping LLC,2026-06-17T00:06:56.930Z
Legacy Design Build Remodeling,https://legacyaz.com/,outdoor living,"Scottsdale, AZ",true,8,10,9,10,10,4,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: Kitchen Remodel, Bath Remodelers | Legacy Design Build Remodeling. H1: Our Reputation is Built on Our Unwavering Dedication to the Highest Levels of Workmanship and Customer Satisfaction . Schema detected. Location signal: Scottsdale, AZ.","Primary quote/call CTA is easy to find. Uses reviews, licensing, guarantees, awards, or years-in-business proof. Before/after proof supports homeowner confidence. Portfolio/gallery helps prove finished-work quality. Service area language supports local intent.",Services/offers are not immediately clear.,research/screenshots/029-legacyaz-com.jpg,lead-sheet/domain-guess,Legacy Landscaping & Lawn Care,2026-06-17T00:06:58.659Z
ceibalandscaping.com,https://ceibalandscaping.com/,landscaping,,true,4,3,4,4,2,3,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,Title: ceibalandscaping.com. H1: ‌‌Próximo lanzamiento. No schema detected in homepage HTML. Location signal not obvious from homepage text.,Basic landscaping service presentation with limited standout conversion pattern.,CTA language is weak or hard to locate. Trust proof is thin above the main homepage content. Services/offers are not immediately clear. Phone number is not obvious in captured homepage text.,research/screenshots/030-ceibalandscaping-com.jpg,lead-sheet/domain-guess,Ceiba Landscaping LLC,2026-06-17T00:06:59.520Z
Landscape Master,https://www.landscapemaster.com/,landscaping,,true,7,4,8,8,3,3,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,Title: Home | Landscape Master. H1: not detected. Schema detected. Location signal not obvious from homepage text.,Primary quote/call CTA is easy to find.,Trust proof is thin above the main homepage content. Services/offers are not immediately clear.,research/screenshots/030-landscapemaster-com.jpg,lead-sheet/domain-guess,Landscape Master,2026-06-17T00:07:00.397Z
Party Supplies for Prom and Homecoming,https://www.andersons.com/,outdoor living,"White Bear Lake, MN",true,8,7,7,7,5,5,6,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: Party Supplies for Prom and Homecoming | Anderson's. H1: Make 2026 Prom Sparkle with Themes, Decor, Favors & More!. Schema detected. Location signal: White Bear Lake, MN.",Basic landscaping service presentation with limited standout conversion pattern.,Trust proof is thin above the main homepage content. Services/offers are not immediately clear. No homepage form detected; conversion path may require extra clicks.,research/screenshots/032-andersons-com.jpg,lead-sheet/domain-guess,Anderson's landscaping LLC,2026-06-17T00:07:01.909Z
"Justin&#039;s Lawn &amp; Landscape &#8211; Design, Install, Maintain",https://justinslawnandlandscape.com/,lawn care; irrigation; commercial landscaping,"Elizabeth Osborn Murfreesboro, TN",true,6,6,8,8,6,6,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: Justin&#039;s Lawn &amp; Landscape &#8211; Design, Install, Maintain. H1: A NAME YOU CAN TRUST TO GET THE JOB DONE!. No schema detected in homepage HTML. Location signal: Elizabeth Osborn Murfreesboro, TN.",Primary quote/call CTA is easy to find. Portfolio/gallery helps prove finished-work quality.,Maintain proof density and avoid burying quote path below decorative content.,research/screenshots/033-justinslawnandlandscape-com.jpg,lead-sheet/domain-guess,Justin's Lawn and Landscape LLC,2026-06-17T00:07:02.253Z
Top Tier Landscaping,https://toptierlandscaping.com/,lawn care; hardscaping,"ORMATION Top Tier Landscaping Balsam Lake, WI",true,7,4,7,7,4,7,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: Landscaping Balsam Lake WI Landscaper near me Landscaping companies near me - Top Tier Landscaping Saint Croix Falls Wisconsin. H1: Top Tier Landscaping
Balsam Lake, WI
. No schema detected in homepage HTML. Location signal: ORMATION Top Tier Landscaping Balsam Lake, WI.",Portfolio/gallery helps prove finished-work quality.,Trust proof is thin above the main homepage content.,research/screenshots/034-toptierlandscaping-com.jpg,lead-sheet/domain-guess,Top Tier Landscaping,2026-06-17T00:07:03.104Z
:: Justin&acute;s Landscaping.co ::,http://justinslandscaping.com/,landscaping,"Carmichael, CA",true,6,8,3,3,5,4,4,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: :: Justin&acute;s Landscaping.co ::. H1: not detected. No schema detected in homepage HTML. Location signal: Carmichael, CA.",Basic landscaping service presentation with limited standout conversion pattern.,CTA language is weak or hard to locate. Trust proof is thin above the main homepage content. Services/offers are not immediately clear. Phone number is not obvious in captured homepage text. No homepage form detected; conversion path may require extra clicks.,research/screenshots/033-justinslandscaping-com.jpg,lead-sheet/domain-guess,Justin's Lawn and Landscape LLC,2026-06-17T00:07:03.187Z
Mac&#039;s Lawn Service,https://macslawnservice.com/,lawn care; hardscaping; commercial landscaping,"Lawn Service is located in Columbia, MO",true,10,8,7,7,7,9,6,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: Lawn Care Columbia MO | Landscaping Columbia MO. H1: Your lawn care the way it should be. Schema detected. Location signal: Lawn Service is located in Columbia, MO.",Basic landscaping service presentation with limited standout conversion pattern.,No homepage form detected; conversion path may require extra clicks.,research/screenshots/037-macslawnservice-com.jpg,lead-sheet/domain-guess,Mac's Lawn Service,2026-06-17T00:07:07.707Z
Top Tier Landscape Construction,https://toptierlandscape.com/,hardscaping; irrigation; outdoor living; artificial turf; landscape design-build; commercial landscaping,,true,10,10,8,8,9,10,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: Top Tier Landscape Construction. H1: AWARD WINNING LANDSCAPE CONSTRUCTION
WITH A PINCH OF CREATIVITY. No schema detected in homepage HTML. Location signal not obvious from homepage text.","Primary quote/call CTA is easy to find. Uses reviews, licensing, guarantees, awards, or years-in-business proof. Portfolio/gallery helps prove finished-work quality.",Maintain proof density and avoid burying quote path below decorative content.,research/screenshots/037-toptierlandscape-com.jpg,lead-sheet/domain-guess,Top Tier Landscaping,2026-06-17T00:07:08.468Z
D&amp;G Landscaping,https://www.dandglandscaping.com/,commercial landscaping,,true,9,9,5,5,5,5,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,Title: D&amp;G Landscaping - Eastern Ontario’s Commercial Landscape Leader. H1: Eastern Ontario’s Commercial Landscape Leader. Schema detected. Location signal not obvious from homepage text.,Basic landscaping service presentation with limited standout conversion pattern.,CTA language is weak or hard to locate. Trust proof is thin above the main homepage content. Services/offers are not immediately clear. Phone number is not obvious in captured homepage text.,research/screenshots/037-dandglandscaping-com.jpg,lead-sheet/domain-guess,D&G Landscape,2026-06-17T00:07:08.871Z
